Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CXCL8,354.6343009,-4.209752217,0.268102435,-15.70202905,1.46E-55,3.14E-52
LYPD2,41.31318572,-4.032639284,0.637878425,-6.321955921,2.58E-10,9.76E-09
CCL4,50.42851764,-3.963374563,0.693168004,-5.717769056,1.08E-08,3.03E-07
ENSG00000289166,58.64535591,-2.858977225,0.498382622,-5.736510663,9.66E-09,2.75E-07
WFDC21P,58.08524197,-2.84985536,0.454223929,-6.274119829,3.52E-10,1.29E-08
RN7SL128P,93.14871762,-2.586238074,0.425073282,-6.084216963,1.17E-09,3.91E-08
ALPP,88.04999797,-2.541127362,0.396337434,-6.411524986,1.44E-10,5.67E-09
IL6,104.5198673,-2.511945184,0.35808606,-7.014920344,2.30E-12,1.23E-10
GAL,3610.213898,-2.440732057,0.44349719,-5.503376605,3.73E-08,9.55E-07
ENSG00000243779,57.16651334,-2.403422586,0.448106989,-5.363501677,8.16E-08,1.95E-06
RPF2P1,112.6458142,-2.258667214,0.40560871,-5.568586564,2.57E-08,6.77E-07
FN1,183.6233206,-2.180342224,0.304027207,-7.171536544,7.42E-13,4.24E-11
RNF145,334.7014905,-2.168678443,0.226200194,-9.587429642,9.03E-22,1.48E-19
ENSG00000289578,209.2661147,-2.164719028,0.34102534,-6.347677932,2.19E-10,8.44E-09
LINC02518,90.15905208,-2.157461718,0.362425823,-5.952836646,2.64E-09,8.33E-08
WAKMAR2,234.7238492,-2.107888444,0.270542694,-7.791333828,6.63E-15,4.91E-13
HDAC9,126.628802,-1.973206047,0.292210314,-6.752691302,1.45E-11,6.83E-10
CBX4,86.74693017,-1.950676899,0.340114885,-5.735347045,9.73E-09,2.76E-07
RAB5IF,555.0812973,-1.913406174,0.21303868,-8.981496573,2.67E-19,3.28E-17
MREG,282.9928195,-1.893983037,0.367711687,-5.150728424,2.59E-07,5.58E-06
UBE2S,316.4470525,-1.892425892,0.268648768,-7.044238128,1.86E-12,1.01E-10
DSEL,162.4126172,-1.846301638,0.322926423,-5.717406522,1.08E-08,3.03E-07
PI3,4410.753912,-1.816256236,0.096314445,-18.85756849,2.55E-79,1.46E-75
ZFAND2A-DT,528.1922897,-1.78981673,0.226896358,-7.888256755,3.06E-15,2.36E-13
RNU6-6P,454.9466736,-1.771931411,0.159959091,-11.07740359,1.61E-28,6.03E-26
SLC30A5,257.3233235,-1.768776937,0.287837114,-6.145062091,7.99E-10,2.74E-08
SNHG7,514.8991907,-1.749342056,0.211129649,-8.285629536,1.17E-16,1.07E-14
C11orf97,132.0829283,-1.715938132,0.322335888,-5.323447364,1.02E-07,2.38E-06
ARPC5L,4235.29282,-1.694501265,0.157427197,-10.76371365,5.11E-27,1.46E-24
H4C14,231.8996776,-1.64660693,0.275055232,-5.986459226,2.14E-09,6.86E-08
ENSG00000215154,185.1999669,-1.645977823,0.298715356,-5.510188176,3.58E-08,9.23E-07
PLAUR,594.9884445,-1.624547913,0.202628464,-8.017372702,1.08E-15,8.79E-14
POLG2,129.5754621,-1.619206522,0.320596887,-5.050599639,4.40E-07,8.95E-06
DCTN6-DT,181.3882275,-1.613311105,0.235399774,-6.853494705,7.21E-12,3.53E-10
RARRES1,260.7209178,-1.596758516,0.214125497,-7.457115269,8.84E-14,5.65E-12
TBC1D22A-DT,823.4038956,-1.571692747,0.12769082,-12.30858059,8.14E-35,5.18E-32
SPSB1,258.0724491,-1.56898924,0.271593043,-5.776986131,7.61E-09,2.19E-07
FOXD1,340.4946303,-1.567822658,0.187386375,-8.366791109,5.92E-17,5.62E-15
SDHC,117.7837427,-1.544776958,0.296408944,-5.211640834,1.87E-07,4.14E-06
UPK2,349.7724415,-1.533365444,0.194171259,-7.896974291,2.86E-15,2.22E-13
CDC23,204.2393505,-1.516726236,0.24222198,-6.261720078,3.81E-10,1.38E-08
AKR1C1,2896.874809,-1.508334558,0.104818846,-14.38991764,5.99E-47,7.34E-44
RAC1P2,213.4187392,-1.487683358,0.257561935,-5.776021827,7.65E-09,2.20E-07
C16orf87,616.3998646,-1.483456609,0.192431798,-7.708999356,1.27E-14,9.11E-13
