Geneid	DA1	DA1c	DA2	DA2c	DA3	DA3c	DB1	DB1c	DB2	DB2c	DB3	DB3c	DD1	DD1c	DD2	DD2c	DD3	DD3c
DDX11L1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	0	1	0	2	1	3	1	3	0	3	0	2	0	2	0	10	0	3
MIR6859-1	0	0	0	6	0	8	0	10	0	10	0	5	0	5	0	5	0	7
MIR1302-2HG	1	3	2	0	2	0	1	0	0	0	0	1	2	0	6	0	4	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	2	1	0	1	2	0	1	3	0	0	1	3	0	2	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000268903	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	6
ENSG00000269981	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	1	7	0	5	0	5	1	9	0	11	0	11	4	2	0	8	0	5
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	0	0	0	0	3	0	0	0	1	0	2	0	0	0	2	0	0
WASH9P	27	46	14	30	11	33	9	101	4	54	10	69	11	40	8	71	15	61
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	1	2	8	2	1	4	0	8	0	5	2	6	0	4	0	14	5	9
ENSG00000286448	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RPL23AP24	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237094	0	19	0	22	0	9	2	43	0	30	0	46	1	19	0	17	1	23
WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
U6	2	5	0	9	0	15	3	12	1	7	3	1	0	4	0	0	1	4
ENSG00000230021	1	10	0	7	0	6	2	13	0	12	0	9	2	3	0	10	0	14
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	0	5	0	5	0	3	0	6	0	6	0	5	0	1	0	6	0	1
MTND2P28	0	270	1	167	0	248	0	1477	3	1078	0	337	2	104	3	79	0	87
MTCO1P12	0	120	0	113	0	133	0	299	0	261	0	138	1	70	0	77	0	53
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO2P12	0	6	0	4	0	4	0	18	0	11	0	6	0	4	0	0	0	3
MTATP8P1	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	0	0
MTATP6P1	0	1317	1	946	3	1053	0	5433	0	4016	4	1154	11	484	14	444	1	404
MTCO3P12	0	28	0	23	0	31	0	20	0	14	0	14	0	20	0	12	0	8
WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	0	6	0	0	0	2	0	1	0	0	0	4	0	3	0	5	0	6
ENSG00000228327	18	89	4	79	4	87	3	252	12	131	8	167	9	83	7	87	6	62
RNU6-1199P	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
ENSG00000229905	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LINC01409	20	34	12	41	2	31	8	123	6	85	7	35	8	28	3	49	2	18
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	15	2	12	2	12	5	10	8	10	3	17	2	17	4	7	6	6	2
FAM87B	5	0	7	12	6	0	3	20	1	14	2	10	2	2	2	15	7	11
LINC01128	334	233	230	197	196	194	193	910	163	667	154	479	140	431	84	550	131	464
LINC00115	23	28	25	22	17	20	48	225	34	117	14	47	22	18	8	29	13	28
ENSG00000288531	9	3	0	0	0	9	0	12	0	5	1	12	0	6	0	19	0	0
FAM41C	7	0	0	2	0	1	3	2	0	3	0	0	0	1	0	4	0	2
TUBB8P11	0	0	0	2	2	0	0	2	1	3	0	0	0	1	0	3	0	2
ENSG00000283040	0	2	0	0	0	0	0	4	0	1	0	3	0	0	0	0	0	1
ENSG00000272438	0	3	0	3	2	3	0	20	0	6	0	6	2	4	1	6	0	10
ENSG00000230699	3	36	0	13	0	41	0	57	0	41	0	38	0	45	0	71	0	76
ENSG00000241180	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1
LINC02593	3	612	4	493	2	457	3	430	4	192	3	479	4	594	5	1172	14	1030
SAMD11	89	275	83	216	63	206	47	295	54	123	79	184	78	160	62	244	70	164
NOC2L	73	3548	53	2551	48	2681	42	10719	75	6173	51	5782	50	6390	47	9689	70	10560
KLHL17	16	384	13	279	8	260	8	512	15	327	10	308	10	407	3	535	11	485
PLEKHN1	0	47	0	38	0	29	0	80	0	59	0	57	0	66	0	82	0	84
PERM1	0	4	1	0	0	1	0	6	2	1	0	5	3	2	0	2	0	8
ENSG00000272512	10	138	3	112	9	132	4	166	9	70	6	154	6	120	8	167	11	158
HES4	570	905	887	564	873	515	1396	333	1222	120	1118	560	998	453	807	515	1234	436
ISG15	4604	5525	2967	4121	3495	4411	3845	27179	4065	13640	3816	7008	3508	5397	3677	5272	4520	3259
ENSG00000231702	2	1	5	1	0	4	2	14	0	7	0	4	1	2	0	2	1	1
ENSG00000224969	0	10	0	17	0	9	1	13	14	11	0	6	0	18	0	11	0	18
AGRN	5	3192	6	1695	3	1556	18	1737	3	748	4	2546	2	2023	0	2760	1	2497
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	492	102	425	74	338	93	339	536	423	326	380	165	365	61	260	65	282	39
ENSG00000273443	5	5	0	0	1	7	0	9	3	6	3	4	6	0	0	2	3	2
RNF223	5	1	6	6	3	2	9	2	8	1	6	1	2	1	2	1	10	1
C1orf159	86	441	70	295	51	240	43	776	36	375	55	542	31	580	42	799	25	756
ENSG00000285812	1	13	0	10	0	5	0	16	1	5	0	9	0	7	1	9	0	3
LINC01342	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
