Geneid	HSA1	HSA1_c	HSA2	HSA2_c	HSA3	HSA3_c	HSB1	HSB1_c	HSB2	HSB2_c	HSB3	HSB3_c	HSD1	HSD1_c	HSD2	HSD2_c	HSD3	HSD3_c
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	0	0	5	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0
MIR6859-1	0	1	0	0	0	1	0	0	0	0	0	0	0	3	0	3	0	2
MIR1302-2HG	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000268903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241860	0	5	0	7	0	4	1	4	0	0	0	4	0	3	0	3	0	6
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH9P	12	19	8	24	10	22	5	18	1	20	0	18	6	14	2	12	4	24
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	4	3	0	2	0	1	1	2	2	3	1	1	3	4	0	4	4	1
ENSG00000286448	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL23AP24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000237094	0	9	0	20	1	20	0	7	0	7	0	8	0	7	0	8	0	15
WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
U6	2	1	0	4	2	3	0	4	1	2	0	0	0	1	0	2	0	1
ENSG00000230021	0	7	0	3	0	5	0	3	0	2	0	5	0	3	0	3	0	8
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	0	0	2	1	0	4	0	2	0	1	0	1	0	3	0	2	0	2
MTND2P28	1	729	5	600	0	648	0	163	0	341	0	429	0	636	0	445	0	685
MTCO1P12	0	36	0	40	0	42	0	19	0	30	0	36	0	45	0	52	0	65
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTCO2P12	0	1	0	0	0	0	0	0	0	1	0	4	0	2	0	1	0	1
MTATP8P1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MTATP6P1	1	806	5	802	2	869	0	520	2	752	0	960	2	1296	13	899	0	1306
MTCO3P12	0	1	0	2	0	0	0	1	0	1	0	0	0	4	0	2	0	4
WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CICP3	0	2	0	1	0	3	0	1	0	0	0	1	0	0	0	2	0	1
ENSG00000228327	4	82	5	88	2	84	1	38	1	40	2	35	5	48	3	56	3	92
RNU6-1199P	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ENSG00000229905	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01409	4	14	4	20	1	17	5	11	4	11	0	8	3	13	2	13	1	17
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	3	2	1	6	2	4	6	1	2	1	0	1	3	3	4	2	3	4
FAM87B	1	3	0	1	0	1	0	1	0	2	0	4	2	1	1	1	0	3
LINC01128	18	293	7	318	10	369	33	186	35	237	36	259	58	287	51	282	81	328
LINC00115	2	15	3	15	4	22	2	12	8	28	6	38	6	8	2	15	1	22
ENSG00000288531	0	9	0	16	0	7	0	14	1	23	0	10	0	3	0	3	0	6
FAM41C	0	3	0	2	0	0	0	0	0	0	0	3	0	1	1	2	0	2
TUBB8P11	0	0	0	3	0	0	0	2	0	1	0	1	0	1	0	1	0	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	4	0	0	1	0	4	0	3	0	2	0	1	0	1	0	1	0	2
ENSG00000230699	0	12	0	23	0	21	0	6	0	5	0	11	0	14	0	5	0	9
ENSG00000241180	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LINC02593	1	66	2	88	2	125	1	53	0	57	1	60	0	137	0	75	1	152
SAMD11	30	66	17	43	25	61	24	86	7	66	22	88	20	72	14	75	24	101
NOC2L	15	2973	32	2902	24	3047	11	1389	7	2010	12	2160	41	3312	9	3276	32	4738
KLHL17	11	81	3	65	3	83	6	81	3	69	1	91	4	69	2	62	4	106
PLEKHN1	0	7	5	9	0	10	0	3	0	1	0	1	0	11	0	0	0	9
PERM1	0	1	0	1	0	3	0	1	0	2	0	1	0	0	0	1	0	2
ENSG00000272512	0	12	1	12	0	16	0	23	1	13	0	11	4	7	0	16	3	21
HES4	148	50	358	59	308	70	369	25	234	42	238	78	31	200	13	58	458	163
ISG15	94	371	70	373	58	524	151	330	149	298	185	393	204	334	154	235	193	357
ENSG00000231702	0	1	0	3	0	9	0	5	0	6	0	3	0	3	1	2	2	3
ENSG00000224969	0	4	0	5	0	6	0	4	0	7	1	5	0	1	0	0	0	6
AGRN	3	154	5	135	1	147	2	71	0	64	0	81	1	213	2	175	0	282
ENSG00000242590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	31	65	40	73	27	76	109	35	39	61	85	56	84	82	100	78	116	111
ENSG00000273443	0	0	1	1	0	0	0	0	0	3	0	0	0	1	1	0	0	4
RNF223	0	0	1	2	0	3	0	2	1	1	0	1	1	0	1	2	2	0
C1orf159	6	106	9	141	12	135	10	51	3	66	10	80	10	182	8	208	19	266
ENSG00000285812	0	6	0	3	0	6	0	2	0	6	0	6	0	5	0	5	0	4
LINC01342	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
TTLL10-AS1	3	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0
TTLL10	0	1	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0
TNFRSF18	0	1	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0
TNFRSF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDF4	126	285	133	295	170	453	63	500	46	673	60	732	70	781	52	384	114	627
B3GALT6	17	88	21	134	24	151	52	117	32	72	42	95	43	215	24	98	60	165
C1QTNF12	6	5	16	2	6	4	0	5	1	2	7	4	4	1	2	5	2	5
ENSG00000260179	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	2
UBE2J2	320	558	299	562	268	619	586	425	400	494	437	502	718	750	441	505	1000	815
LINC01786	0	1	0	1	0	1	0	2	0	0	0	0	0	6	0	1	0	0
SCNN1D	6	82	12	66	5	76	5	30	7	24	3	36	4	57	3	63	4	97
ACAP3	3	41	0	40	3	53	4	41	4	35	1	48	4	115	3	32	5	36
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	270	501	227	492	234	588	339	306	212	286	259	375	374	568	343	512	579	824
INTS11	147	829	113	779	102	918	115	544	72	607	113	641	195	881	135	902	224	1241
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	8	19	9	21	10	13	17	8	5	10	8	6	11	12	11	9	16	8
CPTP	14	110	19	92	12	143	31	90	23	44	24	74	32	100	17	59	36	98
TAS1R3	0	5	1	0	0	4	0	10	0	2	1	9	0	3	0	3	0	5
DVL1	10	66	12	92	7	103	19	107	15	87	16	111	17	185	15	82	24	136
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	0	36	1	33	1	47	4	41	2	49	4	22	0	35	1	22	0	37
AURKAIP1	4115	1255	4403	1232	3760	1374	3688	1616	2300	1131	3114	1394	2966	1555	2779	1470	4141	2145
NDUFB4P8	0	1	0	0	1	1	0	2	0	1	0	0	0	2	0	0	0	1
CCNL2	28	1022	14	1144	22	1569	26	746	14	1434	23	1410	19	1725	22	830	22	1157
MRPL20-AS1	4	432	4	434	15	497	11	237	10	362	12	448	9	605	3	560	8	767
MRPL20	1375	1364	1651	1410	1297	1625	1505	1441	1039	1100	1372	1209	1429	1477	1289	1363	1685	2054
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL20-DT	3	41	2	33	2	39	0	51	1	23	3	44	1	20	3	14	9	33
ANKRD65	3	4	1	5	6	4	0	2	0	3	0	3	1	5	2	4	3	5
ENSG00000225905	0	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0
TMEM88B	0	3	0	1	0	4	2	0	0	0	3	1	0	1	0	1	0	4
LINC01770	4	4	1	2	3	3	6	4	5	2	4	2	6	3	1	5	2	5
VWA1	5	20	0	24	8	28	8	31	4	24	9	24	9	57	4	44	11	71
ATAD3C	0	7	11	3	2	3	0	7	0	4	0	3	0	2	0	0	0	1
ATAD3B	44	554	35	534	55	754	19	450	20	369	31	498	27	787	25	354	29	523
ENSG00000284740	16	8	9	3	13	7	9	6	3	4	3	5	16	0	3	2	19	2
ATAD3A	42	389	18	356	39	467	21	308	14	260	23	329	19	636	6	309	20	477
TMEM240	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	0
SSU72	846	1448	1023	1537	907	1743	1361	1465	839	1544	909	1928	1305	2147	1454	1239	2269	1765
ENSG00000215014	39	63	26	82	31	74	29	36	10	63	17	64	24	53	34	32	21	65
ENSG00000274481	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0
FNDC10	7	82	7	59	9	67	9	93	6	50	7	63	8	161	5	135	5	169
ENSG00000286989	0	3	0	5	0	4	0	6	0	3	0	4	1	11	0	13	0	17
ENSG00000272106	1	40	4	38	1	32	1	41	4	27	4	45	4	53	4	33	8	28
MIB2	50	44	37	45	28	66	42	43	18	46	24	64	27	125	12	45	39	72
MMP23B	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDK11B	22	440	30	459	20	492	17	359	8	290	5	317	30	323	15	324	21	416
ENSG00000272004	26	3	40	7	20	2	7	2	1	5	8	10	14	3	11	2	14	1
SLC35E2B	5	456	9	439	16	498	14	209	5	313	16	363	18	690	17	806	21	1272
ENSG00000269737	0	14	0	15	3	13	0	11	0	5	0	8	1	10	0	14	3	13
MMP23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDK11A	15	104	13	108	9	112	4	80	1	49	5	70	5	50	0	40	5	51
ENSG00000268575	0	62	0	58	0	54	0	26	4	39	0	38	1	62	0	85	3	101
ENSG00000227775	9	50	15	49	9	60	3	18	0	27	3	44	8	54	2	62	4	99
SLC35E2A	2	47	0	48	3	57	3	19	3	29	0	34	4	75	1	74	0	111
NADK	31	380	24	373	36	358	30	327	28	269	35	304	57	432	35	286	84	451
GNB1	247	1043	243	1099	167	1227	241	1452	186	1270	283	1516	297	1451	271	1095	395	1501
ENSG00000231050	8	5	2	6	5	7	2	5	1	3	6	6	3	6	1	6	9	11
CALML6	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	2
TMEM52	28	22	36	18	48	21	41	22	28	21	40	35	24	56	21	22	46	55
CFAP74	4	10	5	13	2	4	0	6	0	3	0	3	3	13	1	16	5	17
ENSG00000233542	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	0
GABRD	9	31	11	44	6	42	5	27	14	42	3	37	12	68	7	79	8	123
ENSG00000226969	5	5	6	2	4	7	1	2	0	3	2	2	1	2	2	3	2	6
PRKCZ	4	111	5	90	4	101	0	105	5	75	0	99	0	160	4	100	3	123
ENSG00000271806	0	1	0	2	0	2	0	0	0	4	0	2	0	0	0	2	0	0
PRKCZ-AS1	0	24	3	33	1	13	1	33	0	49	0	34	2	22	1	14	0	14
FAAP20	141	163	192	158	220	190	156	171	125	157	101	172	102	198	67	107	190	188
ENSG00000234396	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
SKI	20	260	13	237	20	278	34	348	32	292	15	381	39	372	52	282	42	398
ENSG00000287356	0	2	1	3	1	9	0	6	5	4	13	6	11	9	6	8	11	6
MORN1	24	137	34	179	18	181	20	62	9	80	14	76	14	134	8	87	24	199
ENSG00000272161	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	1
ENSG00000269896	2	32	1	22	0	21	0	7	0	5	2	4	0	20	0	22	1	30
ENSG00000272420	0	1	0	5	0	5	0	0	0	1	1	0	0	5	0	1	2	4
RER1	852	1072	1121	1459	937	1732	952	657	675	999	791	1068	902	1336	828	767	1583	1407
PEX10	8	194	39	327	37	433	17	82	13	201	10	251	10	412	12	101	57	295
PLCH2	1	5	0	4	0	4	0	4	0	2	0	1	0	6	0	1	0	1
ENSG00000224387	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	1	0
ENSG00000229393	0	1	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0
PANK4	12	421	2	392	7	371	11	129	7	252	14	257	10	521	7	505	14	640
HES5	0	15	1	5	0	9	0	0	0	2	0	5	2	9	0	5	2	7
ENSG00000272449	2	1	4	1	8	7	3	1	3	4	2	6	2	16	7	8	11	4
TNFRSF14-AS1	0	0	0	2	0	3	0	4	0	1	0	2	0	0	0	0	0	0
TNFRSF14	3	7	0	3	0	2	1	5	1	2	0	3	3	1	0	1	0	1
ENSG00000225931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228037	3	1	0	1	2	0	0	1	2	0	1	0	1	4	5	2	0	1
ENSG00000289610	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0
PRXL2B	10	135	2	152	5	171	21	49	13	54	11	66	11	203	11	175	19	291
MMEL1	0	3	0	4	0	1	0	0	0	2	0	1	1	5	0	0	0	2
MMEL1-AS1	0	0	0	0	0	0	4	1	0	0	1	1	1	0	0	0	2	0
TTC34	0	20	0	19	0	23	0	6	0	6	0	16	0	15	0	18	0	33
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
