Geneid	D1	D1c	D2	D2c	D3	D3c	ND1	ND1c	ND2	ND2c	ND3	ND3c
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	0	0	0	0	0	0	0	1	1	0	0	1
MIR6859-1	0	1	0	0	0	0	0	0	0	0	0	0
MIR1302-2HG	0	0	0	1	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238009	0	0	0	0	0	0	0	0	0	0	0	3
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
CICP27	0	1	0	0	0	2	0	3	3	4	0	9
ENSG00000268903	0	6	0	5	0	5	10	28	0	27	0	29
ENSG00000269981	0	3	0	1	0	2	0	15	0	42	0	26
ENSG00000239906	0	0	0	0	0	0	0	2	0	0	0	2
ENSG00000241860	2	4	2	0	2	2	0	11	0	11	0	7
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	0	0	0	0	0	0	0	0	0	0	0
WASH9P	11	13	13	8	10	16	5	19	6	24	9	12
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	1	1	0	0	8	2	0	3	0	0	0	2
ENSG00000286448	0	0	0	0	0	0	0	0	0	0	0	1
RPL23AP24	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601	10	1	9	0	1	3	0	0	9	0	4	0
ENSG00000237094	0	8	0	5	0	6	0	20	0	25	0	28
WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	0	0	0	0	0	0	0	0	0
U6	0	1	1	0	0	0	0	0	0	2	0	0
ENSG00000230021	0	3	0	2	2	6	0	6	0	10	0	4
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
MTND1P23	0	0	0	1	0	1	0	0	0	2	0	0
MTND2P28	2	809	4	777	4	416	0	440	0	360	9	250
MTCO1P12	0	151	0	93	0	105	4	165	1	120	4	134
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0
MTCO2P12	0	2	0	1	0	6	0	0	0	2	0	0
MTATP8P1	0	0	0	0	0	0	0	0	0	1	0	0
