Geneid	Length	pm_1_cyto	pm_2_cyto	pm_3_cyto	pp_1	pp_1_cyto	pp_2	pp_2_cyto	pp_3	pp_3_cyto
DDX11L1	1735	0	0	0	0	0	0	0	0	0
WASH7P	1351	58	47	31	4	24	4	24	10	16
MIR6859-1	68	0	2	3	0	5	0	3	0	3
MIR1302-2HG	1021	0	0	0	1	0	0	1	0	0
MIR1302-2	138	0	0	0	0	0	0	0	0	0
FAM138A	1219	0	0	0	0	0	0	0	0	0
OR4G4P	840	0	0	0	0	0	0	0	0	0
OR4G11P	1414	0	0	0	0	0	0	0	0	0
OR4F5	2618	0	0	0	0	0	0	0	0	0
ENSG00000238009	3726	0	1	0	0	0	0	0	0	0
ENSG00000239945	1319	0	0	0	0	0	0	0	0	0
CICP27	3812	0	0	0	0	0	0	0	0	0
ENSG00000268903	755	0	0	0	0	1	0	0	0	1
ENSG00000269981	284	0	0	0	0	0	0	0	0	0
ENSG00000239906	323	0	0	0	0	0	0	0	0	0
ENSG00000241860	7559	1	3	2	0	4	0	3	0	0
RNU6-1100P	104	0	0	0	0	0	0	0	0	0
ENSG00000241599	457	0	0	0	0	0	0	0	0	0
DDX11L17	570	0	0	0	0	0	0	0	0	0
WASH9P	1397	116	103	40	16	98	33	64	21	49
MIR6859-2	68	0	0	0	0	0	0	0	0	0
ENSG00000228463	8224	1	2	3	1	0	0	0	1	2
ENSG00000286448	736	0	0	0	0	0	0	0	0	0
RPL23AP24	385	0	0	0	0	0	1	0	0	0
ENSG00000236601	1095	1	0	0	0	0	0	0	0	0
ENSG00000237094	6204	7	0	0	1	4	3	5	1	6
WBP1LP7	363	0	0	0	0	0	0	0	0	0
OR4F29	939	0	0	0	0	0	0	0	0	0
CICP7	2477	0	0	0	0	0	0	0	0	0
ENSG00000250575	1239	0	0	0	0	0	0	0	0	0
U6	3379	0	0	0	0	3	0	1	0	0
ENSG00000230021	5495	6	5	4	1	6	1	3	0	2
ENSG00000235146	635	0	0	0	0	0	0	0	0	0
MTND1P23	372	3	4	2	0	1	0	3	0	1
MTND2P28	1044	5	2	1	0	7	1	3	1	4
MTCO1P12	1543	38	33	34	1	29	1	26	3	20
ENSG00000278791	89	0	0	0	0	0	0	0	0	0
MTCO2P12	682	1	3	5	0	2	0	5	1	1
MTATP8P1	207	0	1	0	0	0	0	0	0	0
MTATP6P1	681	1136	1144	755	4	553	11	904	10	530
MTCO3P12	547	1	3	2	0	0	0	2	0	2
WBP1LP6	424	0	0	0	0	0	0	0	0	0
OR4F16	939	0	0	0	0	0	0	0	0	0
CICP3	2455	0	0	0	0	0	0	0	0	0
ENSG00000228327	6495	39	34	26	18	50	26	29	19	29
RNU6-1199P	104	0	0	0	0	1	0	0	0	0
ENSG00000229905	456	0	0	0	0	0	0	0	0	0
LINC01409	8413	11	4	7	7	9	4	8	4	3
ENSG00000285268	114	0	0	0	0	0	0	0	0	0
ENSG00000230092	872	2	0	2	11	10	17	1	7	1
FAM87B	1947	1	0	0	1	1	0	0	5	0
LINC01128	17958	49	69	34	106	127	160	53	126	48
LINC00115	1317	16	9	20	17	40	8	22	10	14
ENSG00000288531	3292	3	2	1	0	1	1	0	0	0
FAM41C	1971	0	0	0	1	0	0	1	0	0
TUBB8P11	1058	0	0	0	0	0	0	0	0	0
ENSG00000283040	837	0	0	0	0	0	0	0	0	0
ENSG00000272438	351	7	7	4	3	5	5	7	1	4
ENSG00000230699	3043	11	6	3	0	10	0	2	0	2
ENSG00000241180	443	0	0	0	0	3	0	1	0	0
LINC02593	4152	26	36	10	12	57	9	21	8	16
SAMD11	4172	85	76	56	82	91	54	55	78	59
NOC2L	5540	487	516	358	43	1010	55	406	43	334
KLHL17	3402	75	67	50	1	151	8	54	5	41
PLEKHN1	3451	4	0	0	1	1	1	1	0	1
PERM1	3424	0	0	1	1	0	1	0	0	0
ENSG00000272512	2086	3	2	6	0	19	0	6	2	4
HES4	1118	164	179	112	340	341	704	205	408	147
ISG15	867	831	901	486	1326	272	901	927	1166	844
ENSG00000231702	154	0	1	0	0	0	0	0	0	0
ENSG00000224969	471	1	0	0	0	0	0	1	0	1
AGRN	10761	70	62	48	11	236	6	90	17	91
ENSG00000242590	402	0	0	0	0	0	0	0	0	0
ENSG00000217801	2658	53	67	20	108	83	157	35	131	45
ENSG00000273443	829	1	1	0	0	0	0	0	0	0
RNF223	1900	0	0	0	2	0	3	0	3	1
C1orf159	6322	72	53	31	40	81	36	42	38	36
ENSG00000285812	1095	2	1	1	1	3	0	1	0	1
LINC01342	1620	0	0	0	0	0	0	0	0	0
MIR200B	95	0	0	0	0	0	0	0	0	0
MIR200A	90	0	0	0	0	0	0	0	0	0
MIR429	83	0	0	0	0	0	0	0	0	0
ENSG00000272141	987	0	0	0	0	0	0	0	0	0
TTLL10-AS1	3532	0	0	0	0	0	0	0	0	0
TTLL10	3998	0	0	0	2	0	1	0	0	0
TNFRSF18	1271	0	0	0	1	0	1	0	2	0
TNFRSF4	1722	0	0	0	0	0	0	0	1	0
SDF4	4744	227	191	140	288	380	367	227	255	162
B3GALT6	2805	52	49	45	155	88	160	50	122	51
C1QTNF12	1794	12	18	10	7	10	15	7	18	9
ENSG00000260179	1558	0	0	0	1	0	1	0	1	0
UBE2J2	4691	346	323	204	933	636	1086	293	865	257
LINC01786	513	1	0	0	0	1	0	1	0	0
SCNN1D	4025	56	47	36	6	110	4	36	6	38
ACAP3	8707	36	30	39	27	100	11	42	13	38
MIR6726	61	0	0	0	0	0	0	0	0	0
PUSL1	2459	1183	1516	396	388	790	653	428	411	334
INTS11	8216	495	439	281	152	694	218	359	149	291
MIR6727	65	0	0	0	0	0	0	0	0	0
ENSG00000240731	386	4	4	3	11	21	12	9	8	3
CPTP	2555	31	27	9	66	63	62	23	47	17
TAS1R3	3475	0	0	1	0	0	0	1	0	0
DVL1	3882	107	113	103	73	193	64	101	53	72
MIR6808	59	0	0	0	0	0	0	0	0	0
MXRA8	3622	43	33	21	31	107	30	45	31	35
AURKAIP1	1381	5304	4988	2928	2161	1297	3105	4159	2101	3537
